Instance,Algorithm,Randseed,k,time,Itercount,Solution,
DSJC125.1.col,tabusearch,3,5,0,2448,1 2 1 4 3 4 0 0 0 1 3 0 0 1 1 3 0 4 4 1 4 4 4 3 2 1 3 1 2 4 0 0 4 3 4 0 1 2 2 4 2 3 1 2 1 4 3 0 4 1 1 2 3 1 3 3 2 1 0 4 4 4 0 4 2 2 2 0 3 2 0 3 2 3 0 2 2 0 4 3 0 2 4 1 3 3 4 4 0 1 2 0 3 4 3 1 4 2 1 4 3 4 4 0 1 0 0 0 1 3 1 4 2 0 2 4 0 4 2 0 0 4 2 2 2 
DSJC250.1.col,tabusearch,4,8,0,42885,6 1 2 6 2 5 5 1 2 2 4 4 4 4 4 2 4 0 0 0 5 7 4 5 6 6 3 1 5 4 6 1 7 0 0 1 1 3 7 3 2 2 6 4 3 0 4 7 3 5 6 5 7 0 4 7 5 3 0 6 6 3 4 5 3 4 4 3 3 4 1 7 5 3 3 6 2 6 1 4 2 6 0 2 1 6 5 0 6 3 5 4 3 3 6 1 7 5 3 0 0 5 1 0 5 1 0 1 1 5 3 0 4 7 1 6 1 1 2 2 3 1 4 1 2 4 0 4 6 1 4 5 2 3 7 7 6 7 2 7 2 6 3 3 0 4 7 7 0 4 5 4 7 2 6 4 3 7 6 1 2 6 3 7 1 2 3 7 7 2 1 5 2 5 0 6 4 7 1 2 3 5 3 4 2 3 5 7 5 0 1 3 3 5 0 4 5 5 6 7 0 7 4 1 5 6 5 6 6 2 0 5 6 3 2 7 1 4 7 2 6 1 6 7 4 6 7 2 7 0 1 0 0 0 0 0 2 5 2 7 5 7 5 0 0 0 3 1 7 1 
DSJC250.5.col,tabusearch,5,28,91,8291989,21 5 9 13 7 7 7 2 22 3 23 25 20 9 24 0 6 4 8 24 18 1 22 0 21 3 0 11 12 16 15 0 2 22 24 8 6 22 6 17 10 18 27 20 24 21 20 20 2 4 1 15 26 5 20 1 16 13 11 16 21 24 8 4 17 8 4 10 12 27 3 9 1 24 17 25 6 5 7 26 17 8 16 20 12 8 23 24 19 2 20 14 27 7 16 6 26 4 5 26 6 3 3 19 26 10 18 21 15 24 13 13 26 2 7 6 9 7 17 27 8 11 24 10 17 17 18 26 18 10 13 12 0 22 11 4 10 10 5 25 8 26 10 8 3 9 22 15 22 23 14 9 13 16 24 20 13 19 1 22 1 8 21 21 23 26 23 27 5 3 4 1 18 12 14 19 24 19 11 15 0 27 25 18 23 17 5 27 22 1 15 14 16 15 23 15 12 15 16 3 2 12 25 17 20 18 7 1 23 26 6 3 14 4 13 16 5 2 19 0 7 9 2 19 27 12 14 19 21 12 18 10 26 6 27 27 10 2 25 18 23 0 3 14 21 26 16 14 6 17 
DSJC250.9.col,tabusearch,6,72,2,164128,25 62 49 9 16 25 49 15 22 48 3 33 32 28 48 29 70 41 32 50 23 20 51 59 58 71 42 24 14 38 54 15 47 2 30 46 13 68 25 62 1 41 53 54 70 48 57 12 69 70 9 13 60 23 56 65 68 16 55 2 35 37 67 7 14 17 18 0 61 52 63 5 11 65 62 32 47 42 37 26 69 2 47 6 31 40 49 33 58 46 42 0 11 55 66 71 7 44 27 8 18 45 3 41 27 43 1 24 53 5 67 7 30 26 6 60 21 27 5 61 9 20 10 51 18 0 50 10 4 48 28 52 21 39 31 56 36 15 38 14 39 71 45 6 29 65 1 62 39 40 64 24 4 6 4 34 55 16 23 43 40 32 33 13 68 10 22 51 66 14 34 28 66 42 41 60 20 55 33 12 67 29 17 43 11 64 37 45 9 53 19 5 69 64 47 52 31 18 63 12 24 3 21 59 19 34 51 59 56 34 22 58 38 26 71 16 12 36 44 29 67 7 46 17 54 43 57 3 69 63 25 19 70 30 22 8 54 36 8 35 50 61 45 49 46 27 9 44 57 19 
DSJC500.1.col,tabusearch,7,12,102,14696177,11 7 6 6 3 5 9 7 10 6 1 10 2 1 2 7 3 8 8 6 0 11 1 10 5 11 10 5 4 5 1 10 0 4 6 4 9 3 3 2 2 1 3 9 5 9 2 9 3 4 0 0 1 11 6 8 4 6 5 7 1 9 7 11 5 2 1 11 4 4 7 8 10 6 2 0 5 2 5 3 0 6 11 6 1 11 6 11 9 4 1 1 7 9 2 9 2 4 0 0 8 10 9 7 1 7 10 1 9 3 1 0 10 3 2 5 9 1 1 11 3 6 3 3 8 1 6 0 9 11 9 2 6 3 7 0 11 2 4 4 2 6 1 1 6 6 4 4 9 9 10 3 0 4 3 3 10 4 3 10 10 9 4 0 0 9 1 4 8 0 1 2 8 7 7 6 11 2 4 1 7 0 11 10 1 5 2 3 1 2 1 3 9 8 2 4 8 9 1 4 9 1 6 0 5 4 10 4 10 0 0 3 0 5 5 10 2 8 2 0 9 0 10 6 7 9 10 3 4 10 5 6 4 10 2 7 10 10 8 8 10 6 8 1 9 8 7 4 2 0 5 4 1 11 5 5 3 10 6 2 5 3 9 1 10 0 9 7 2 0 7 5 4 7 6 7 6 11 1 11 11 7 9 4 10 8 11 5 4 4 10 5 0 8 0 0 3 3 8 10 5 2 8 5 6 2 11 3 10 7 2 0 6 10 4 2 5 3 1 2 2 8 5 1 6 8 10 9 0 2 6 2 1 4 6 5 8 2 6 11 5 8 8 8 4 0 2 3 6 6 6 11 10 6 11 9 10 11 6 1 9 9 7 6 1 7 1 4 2 7 8 6 2 11 4 11 9 9 8 11 6 11 8 5 3 1 0 3 3 8 4 0 6 3 0 5 4 5 1 6 6 7 11 3 9 4 5 7 6 10 8 4 11 8 0 6 5 11 9 7 10 5 9 10 2 9 5 0 1 10 5 10 5 0 11 0 2 11 9 0 0 3 2 9 10 11 4 7 8 7 10 0 10 6 7 7 3 1 3 11 6 1 2 7 5 9 3 9 3 2 8 4 7 10 8 8 1 3 9 7 7 9 2 9 4 8 10 1 8 5 1 5 10 3 11 9 0 3 11 9 
DSJC500.5.col,tabusearch,8,49,1599,77415496,17 35 48 32 48 44 12 41 23 12 29 4 22 47 31 29 0 47 33 32 48 38 37 7 15 10 15 46 41 25 37 26 18 26 17 41 6 19 2 28 4 31 0 17 2 46 36 31 48 48 27 7 9 8 13 15 14 11 29 45 27 1 1 29 6 39 16 39 15 42 33 24 2 16 40 14 27 8 14 44 0 40 19 46 46 1 14 1 18 33 14 7 35 47 30 12 24 2 17 28 21 11 31 39 46 6 48 6 33 4 11 8 3 36 34 29 23 32 10 17 23 23 39 5 10 41 47 23 41 13 14 33 25 12 13 1 13 8 36 7 24 4 21 26 17 46 26 2 16 40 35 27 32 41 5 19 37 30 38 20 13 29 31 16 0 5 43 11 15 10 25 40 32 44 43 41 39 5 19 22 1 20 38 38 5 45 40 32 4 13 11 25 39 1 21 36 29 24 22 4 44 23 15 33 19 19 34 22 27 6 3 35 43 48 12 33 14 28 38 43 1 43 2 27 44 27 18 9 10 10 45 30 3 19 30 34 2 38 8 31 21 2 9 13 0 47 9 15 3 42 16 20 26 21 44 26 21 43 47 0 1 28 48 38 2 19 5 23 22 35 40 46 34 6 41 41 25 28 17 22 42 18 35 4 26 6 46 18 36 27 41 33 7 11 45 9 10 4 44 24 31 18 2 24 5 15 43 34 2 16 28 3 2 45 47 5 42 16 12 45 27 12 35 4 36 11 24 24 48 3 16 43 10 8 24 19 42 20 23 28 36 16 11 40 4 8 14 6 26 31 42 0 32 37 24 15 45 0 5 39 13 33 47 8 18 30 4 13 45 11 16 29 25 5 9 3 38 23 12 36 6 17 10 20 44 7 8 21 43 5 47 46 43 18 30 22 22 23 44 31 24 38 25 40 29 42 20 33 3 34 34 40 42 10 22 37 21 21 7 8 37 29 24 38 26 5 30 25 17 39 13 36 14 31 15 25 3 1 42 11 28 15 25 39 6 30 20 27 33 24 14 44 23 46 29 13 16 47 13 7 37 29 31 19 14 7 11 44 38 18 30 13 37 42 20 43 23 27 45 37 42 32 35 39 43 46 19 36 12 22 20 26 37 33 18 31 10 4 9 34 
DSJC500.5.col,tabusearch,177667205,49,1998,100000000,33 18 17 46 13 0 43 16 22 30 23 14 19 30 44 40 18 35 22 7 32 17 17 46 41 13 39 9 36 14 46 36 6 15 5 23 30 14 6 14 46 31 18 7 21 37 39 31 47 8 42 7 38 9 35 44 29 29 32 19 31 1 3 16 39 21 18 45 25 42 18 10 8 19 42 27 5 28 43 7 12 5 14 41 11 44 43 43 40 22 0 0 1 9 41 9 10 8 4 35 37 11 20 13 38 6 33 2 17 1 29 45 16 27 34 31 47 29 11 21 22 25 18 38 16 32 26 40 32 35 21 27 41 1 34 3 3 23 27 38 10 26 6 28 47 22 34 36 21 40 18 1 26 16 46 14 36 4 17 32 9 3 31 18 12 38 34 29 23 28 28 40 30 0 43 30 47 47 14 46 32 4 45 34 35 8 5 34 29 35 4 17 17 25 17 24 15 10 42 26 5 20 41 13 14 6 39 26 13 4 9 6 7 31 39 11 15 3 0 44 46 23 8 0 24 17 24 48 48 45 48 42 32 14 47 20 29 36 28 25 48 9 21 9 17 2 29 12 2 42 38 34 6 8 33 48 43 8 41 8 1 48 12 33 5 13 0 13 27 29 27 36 21 28 38 24 9 16 15 4 5 4 21 1 2 37 40 22 27 35 13 22 16 32 8 4 7 26 39 10 31 7 36 10 19 41 35 33 47 11 22 44 24 7 42 20 7 47 17 3 43 39 48 4 14 43 10 10 39 2 47 44 30 43 10 3 8 20 25 2 8 26 32 29 46 47 5 23 15 40 24 12 27 12 10 18 19 12 42 30 41 38 30 13 33 44 24 9 33 28 19 16 12 45 37 36 32 25 47 27 17 19 30 12 4 2 23 20 7 12 11 2 43 42 38 28 5 37 45 31 10 34 7 36 41 35 44 33 2 40 1 48 40 15 3 16 43 24 48 33 15 11 10 24 41 6 33 3 21 37 13 27 20 21 23 20 9 34 2 31 34 48 13 45 24 23 22 37 44 10 35 0 45 5 33 25 41 31 39 15 34 20 6 14 30 3 15 7 45 33 25 9 32 40 11 11 15 28 19 15 0 31 0 6 43 28 14 1 39 6 19 37 40 20 22 19 35 26 5 41 
DSJC500.5.col,tabusearch,1776672059,49,856,42713177,25 6 28 34 3 2 25 29 36 37 0 39 3 17 32 13 5 41 28 46 34 31 9 43 5 23 30 32 26 37 35 29 4 21 19 36 37 41 30 38 26 47 19 36 8 7 39 1 45 42 24 45 32 11 18 45 43 10 30 14 26 7 24 15 30 47 30 19 33 24 28 12 14 29 3 32 35 10 46 1 5 22 11 33 37 26 44 23 30 28 43 3 5 47 45 25 12 31 36 38 38 15 20 47 10 47 38 47 1 35 0 48 14 34 0 1 27 32 37 41 31 41 4 24 23 24 17 7 33 18 16 25 13 16 18 0 18 21 32 15 12 22 14 44 39 41 29 9 14 9 28 35 45 31 4 21 21 42 36 8 18 9 15 4 34 27 22 47 17 0 10 13 23 2 48 21 4 41 23 10 26 23 2 43 38 19 21 16 47 18 2 31 36 41 7 36 25 12 11 42 27 39 46 31 3 21 30 35 31 22 33 36 17 1 25 25 15 11 38 16 0 46 41 48 19 13 5 24 22 16 19 8 7 36 46 4 44 16 21 20 13 3 44 18 5 1 40 5 20 37 46 29 39 19 26 39 6 15 13 19 5 48 27 3 35 31 27 15 10 28 34 43 1 44 4 36 3 33 20 37 33 40 6 40 8 9 8 13 32 10 13 31 20 46 15 6 0 27 36 12 1 43 8 12 40 1 46 38 48 25 20 39 13 17 17 16 40 40 36 9 42 40 4 35 44 46 12 12 7 26 30 34 12 11 12 10 3 42 48 15 3 7 11 47 39 42 11 43 29 1 11 29 45 27 12 8 9 43 37 31 18 28 0 47 41 26 42 18 38 10 42 45 35 40 32 7 13 27 45 7 30 23 0 37 5 4 21 20 22 16 41 24 17 21 15 10 28 23 2 22 12 35 22 29 44 33 23 31 48 1 42 39 33 14 38 28 13 6 39 20 45 24 47 14 15 38 38 35 30 4 18 2 9 44 7 42 37 45 37 5 45 34 10 31 6 2 44 35 25 12 9 11 20 21 39 18 31 17 18 34 40 6 0 28 27 22 24 40 16 26 37 18 22 2 39 46 14 2 24 6 2 15 32 38 46 26 16 41 44 14 23 17 22 25 44 0 10 17 25 17 
DSJC500.5.col,tabusearch,7345455347,49,1782,84189108,25 35 27 19 34 15 32 25 29 2 9 26 47 2 44 2 36 7 48 37 10 27 21 24 5 25 14 38 31 31 46 29 36 41 43 33 37 29 12 45 26 44 0 0 12 8 34 44 47 47 47 22 6 33 40 24 23 30 5 46 0 19 3 3 47 11 41 48 22 34 48 20 12 18 28 25 42 1 3 19 16 4 35 16 19 14 48 19 14 39 38 22 37 15 5 5 20 12 7 4 0 30 44 28 16 10 6 34 39 26 30 11 13 10 43 3 21 1 34 9 10 45 36 13 25 13 42 37 3 40 18 39 24 19 40 23 40 33 9 35 20 26 23 27 18 29 0 12 41 4 36 4 24 21 6 43 46 7 38 3 40 10 44 11 23 24 32 30 24 30 25 45 19 34 32 43 13 29 17 27 3 17 15 38 6 23 36 42 26 40 2 48 43 43 8 16 39 20 21 26 7 21 16 42 15 1 24 22 5 33 7 45 32 18 43 39 3 4 45 32 19 29 12 45 2 11 37 28 28 38 23 9 36 15 18 38 12 15 2 44 31 12 41 40 31 29 36 9 13 0 11 41 36 43 6 18 15 32 42 38 37 4 21 22 12 17 5 16 48 33 46 9 16 42 13 25 33 27 27 47 39 7 14 26 22 25 35 32 38 27 15 39 10 8 21 7 38 26 27 20 44 37 12 20 6 13 32 6 12 23 1 13 12 21 42 11 34 47 31 21 45 46 18 26 17 30 20 20 47 22 9 32 20 11 20 6 31 41 1 24 8 41 30 0 26 1 25 47 39 44 48 1 31 28 20 22 10 38 11 2 40 48 17 33 14 31 26 40 48 30 0 2 18 38 8 7 9 9 31 45 14 18 27 37 7 22 43 46 32 29 41 7 32 15 11 4 48 11 25 44 20 42 8 9 5 34 13 39 46 30 37 18 34 27 4 46 36 15 18 6 46 5 17 16 18 33 8 45 38 47 40 5 25 44 33 36 37 43 34 30 43 17 33 42 1 28 24 41 34 20 7 35 46 2 36 40 41 37 40 10 46 33 44 17 3 21 30 8 0 14 17 40 33 34 10 32 35 42 1 28 45 42 1 2 32 3 9 29 31 28 2 24 35 5 14 44 27 26 28 16 
DSJC500.5.col,tabusearch,7345455347,49,1815,84189108,25 35 27 19 34 15 32 25 29 2 9 26 47 2 44 2 36 7 48 37 10 27 21 24 5 25 14 38 31 31 46 29 36 41 43 33 37 29 12 45 26 44 0 0 12 8 34 44 47 47 47 22 6 33 40 24 23 30 5 46 0 19 3 3 47 11 41 48 22 34 48 20 12 18 28 25 42 1 3 19 16 4 35 16 19 14 48 19 14 39 38 22 37 15 5 5 20 12 7 4 0 30 44 28 16 10 6 34 39 26 30 11 13 10 43 3 21 1 34 9 10 45 36 13 25 13 42 37 3 40 18 39 24 19 40 23 40 33 9 35 20 26 23 27 18 29 0 12 41 4 36 4 24 21 6 43 46 7 38 3 40 10 44 11 23 24 32 30 24 30 25 45 19 34 32 43 13 29 17 27 3 17 15 38 6 23 36 42 26 40 2 48 43 43 8 16 39 20 21 26 7 21 16 42 15 1 24 22 5 33 7 45 32 18 43 39 3 4 45 32 19 29 12 45 2 11 37 28 28 38 23 9 36 15 18 38 12 15 2 44 31 12 41 40 31 29 36 9 13 0 11 41 36 43 6 18 15 32 42 38 37 4 21 22 12 17 5 16 48 33 46 9 16 42 13 25 33 27 27 47 39 7 14 26 22 25 35 32 38 27 15 39 10 8 21 7 38 26 27 20 44 37 12 20 6 13 32 6 12 23 1 13 12 21 42 11 34 47 31 21 45 46 18 26 17 30 20 20 47 22 9 32 20 11 20 6 31 41 1 24 8 41 30 0 26 1 25 47 39 44 48 1 31 28 20 22 10 38 11 2 40 48 17 33 14 31 26 40 48 30 0 2 18 38 8 7 9 9 31 45 14 18 27 37 7 22 43 46 32 29 41 7 32 15 11 4 48 11 25 44 20 42 8 9 5 34 13 39 46 30 37 18 34 27 4 46 36 15 18 6 46 5 17 16 18 33 8 45 38 47 40 5 25 44 33 36 37 43 34 30 43 17 33 42 1 28 24 41 34 20 7 35 46 2 36 40 41 37 40 10 46 33 44 17 3 21 30 8 0 14 17 40 33 34 10 32 35 42 1 28 45 42 1 2 32 3 9 29 31 28 2 24 35 5 14 44 27 26 28 16 
